Years,PRED,PETD,CLDD,DTRD,TMPD,TMND,TMXD,VAPD,WETD
1960,40.8,5.5,65.6,11.2,28.9,23.3,34.5,21,7.2
1961,54.1,5.8,61.4,11.1,29.6,24.1,35.2,21.5,8.2
1962,42.6,5.9,53.6,11,29.1,23.6,34.6,21,7.07
1963,88.4,5.2,72.8,10.6,28.4,23.1,33.7,21,10.28
1964,61.6,5.6,63.4,11.2,29.1,23.5,34.7,21.3,8.63
1965,54.9,5.6,60.9,11.3,28.7,23.1,34.4,20.9,8.37
1966,113.4,5.4,70,10.9,28.6,23.2,34.1,21,11.58
1967,86.7,5.7,62.5,11.2,29.2,23.6,34.8,21.3,10
1968,92.6,5.5,64.8,11.2,28.3,22.7,33.9,20.1,10.46
1969,8.9,6,54.1,11.5,29.8,24.1,35.6,21.9,3.22
1970,82.2,5.5,66.4,11.1,28.9,23.4,34.5,21.1,9.91
1971,65.1,5.8,59.8,11.4,29.1,23.4,34.8,21,8.99
1972,40.5,5.7,64.2,11.1,29.6,24.1,35.2,22.1,6.67
1973,21.9,6.1,54.7,11.6,30.4,24.6,36.2,22.5,5.19
1974,46.8,5.8,60.9,11.4,29.3,23.6,35,21.1,7.71
1975,70.9,5.7,64.1,11.2,29.8,24.2,35.4,21.9,9.31
1976,36.5,5.8,58.3,11.4,29.2,23.5,34.9,21.3,6.8
1977,110.9,5.7,66.6,11.3,29.9,24.3,35.6,21.7,11.42
1978,34.4,5.9,60,11.4,29.6,23.9,35.3,21.2,5.85
1979,71.1,5.9,57.4,11.7,29.6,23.8,35.5,21.4,9.3
1980,56.8,5.8,60.8,11.2,30,24.4,35.6,22.3,8.23
1981,72.5,5.5,68.9,11,29.5,24,35,21.7,9.05
1982,86.9,5.5,67.7,11,29.3,23.8,34.8,21.5,10
1983,53.2,5.8,63.9,11.1,30.6,25.1,36.2,23.1,7.74
1984,42.1,6.1,51.6,11.5,30.1,24.4,35.9,22.1,7.36
1985,75.5,5.3,72,10.8,28.7,23.3,34.1,20.9,9.74
1986,58.8,5.6,64.5,11,29.4,23.9,34.9,21.7,8.62
1987,60.1,6,55.3,11.3,30.2,24.6,35.9,22.3,8.7
1988,97.6,5.7,64.1,11.4,29.8,24.1,35.5,21.8,10.84
1989,42,5.5,64.5,10.8,28.7,23.3,34.1,20.9,6.73
1990,64,5.6,65.3,11.2,29.5,23.9,35.1,21.6,8.31
1991,24.8,6,54.9,11.7,29.7,23.9,35.6,21.8,5.2
1992,48.6,5.9,59.9,10.9,30.2,24.8,35.7,22.4,7.88
1993,31.8,5.8,58.7,11.2,29.9,24.3,35.5,22.4,6.06
1994,39.7,5.7,59.4,11.2,29.6,24,35.2,23,7.16
1995,67,5.9,59.2,11.4,30.3,24.6,36,22.8,8.92
1996,37.5,5.6,65.6,11.2,29.8,24.2,35.4,23,6.75
1997,105.9,5.4,73.3,11.2,29.4,23.8,35,22,11.19
1998,40.8,5.7,66.8,11.2,30.2,24.6,35.8,22.1,7
1999,47.4,5.6,69.2,11.2,29.9,24.3,35.5,22.2,7.67
2000,52.8,5.7,67.7,11.4,30.3,24.6,36,22.6,7.75
2001,37.1,5.8,62.5,11.3,30.3,24.7,36,22.7,6.48
2002,57.2,5.6,70.7,11.2,30.7,25.1,36.3,23.4,8.25
2003,84.5,5.9,61.7,11.3,30.8,25.2,36.5,23.1,9.83
2004,62,5.6,62.8,10.3,29.8,24.7,35,22.9,8.4
2005,47.1,6.2,54.2,11.6,31.1,25.3,36.9,23,7.42
2006,51.8,6,54.6,11,30.3,24.8,35.8,23,7.8
2007,62,5.9,62.3,10.7,30.7,25.4,36.1,23,8.4
2008,43.6,5.7,61.7,11.2,29.8,24.2,35.4,22.3,7.27
2009,35.4,6,62.3,10.8,30.9,25.5,36.3,22.7,4.97
2010,44.7,6.1,61.5,11.2,31.4,25.8,37,23.2,7.61
