"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5","Dim.6","Dim.7","Dim.8","Dim.9"
"PRED",0.637891319474046,0.570747946556448,0.482142485354848,0.146461180329672,0.0159685328097403,0.114185503355846,0.0116423162842392,0.000570761213443229,-2.16384184336079e-30
"PETD",-0.88801400261903,-0.246459141790995,0.258425849350108,0.257662693234322,0.112129913786265,0.0169638108292008,-0.0682204933331553,-0.000339601096353235,5.62494859176048e-30
"CLDD",0.634808356140078,0.58055562875666,-0.220696591689208,-0.436826795072492,0.136075666833378,0.00497101614810859,-0.0436728830485467,-0.000509507300141234,4.72953374116423e-30
"DTRD",-0.382690126958708,-0.456297390489272,0.66743837644806,-0.444211748979014,-0.0502895005617364,0.00230451716947007,0.0029030169784185,-0.000348856247544855,6.75291618955791e-16
"TMPD",-0.906836912226901,0.407907419439151,0.0423334150182465,-0.0401039524354525,0.0830878419395063,-0.0144490896987921,0.0176487959506498,0.0208341328455418,-5.88720052553149e-29
"TMND",-0.852057304579349,0.504699730189051,-0.0828327413570492,0.055112815429082,0.0934133235292223,-0.0105699877033551,0.0205915706001371,-0.0107731222134064,1.73276667147349e-15
"TMXD",-0.929297011297073,0.303397541836384,0.164548968024503,-0.109530221460344,0.0685135183062135,-0.00897728171262168,0.0201628830256606,-0.0101256348609419,-1.86683472976148e-15
"VAPD",-0.787406913359875,0.507489947650455,-0.157916763805001,-0.0671819031268938,-0.302698382752385,0.0255869358818055,-0.0266867504375151,-9.25784735113478e-05,3.86573061174397e-30
"WETD",0.635761718534616,0.558998297400825,0.49363582112606,0.155079395826548,-0.0565892603296299,-0.110657811559745,-0.0124239407110663,-0.000384569274334101,1.44429785978546e-30
