epoch 	train_loss 	valid_loss 	error_rate 	accuracy 	precision 	recall 	f_beta 	time
0 	0.446352 	0.472359 	0.142782 	0.857218 	0.857218 	0.857218 	0.857218 	04:32
1 	0.432999 	0.301448 	0.094751 	0.905249 	0.905249 	0.905249 	0.905249 	04:33
2 	0.364522 	0.423103 	0.134383 	0.865617 	0.865617 	0.865617 	0.865617 	04:33
3 	0.361707 	0.316622 	0.104199 	0.895801 	0.895800 	0.895801 	0.895800 	04:33
4 	0.321263 	0.347530 	0.124672 	0.875328 	0.875328 	0.875328 	0.875328 	04:33
5 	0.265507 	0.267544 	0.083465 	0.916535 	0.916535 	0.916535 	0.916535 	04:34
6 	0.216712 	0.752649 	0.069816 	0.930184 	0.930184 	0.930184 	0.930184 	04:34
7 	0.176814 	0.264521 	0.061417 	0.938583 	0.938583 	0.938583 	0.938583 	04:35
8 	0.173132 	0.180094 	0.054068 	0.945932 	0.945932 	0.945932 	0.945932 	04:34
9 	0.151196 	0.231063 	0.050919 	0.949081 	0.949081 	0.949081 	0.949081 	04:34
0 	0.282301 	0.236153 	0.062730 	0.937270 	0.937270 	0.937270 	0.937270 	04:30
1 	0.247155 	0.215182 	0.064304 	0.935696 	0.935695 	0.935696 	0.935696 	04:30
2 	0.221028 	0.931704 	0.080052 	0.919948 	0.919948 	0.919948 	0.919948 	04:30
3 	0.201767 	0.270442 	0.088189 	0.911811 	0.911811 	0.911811 	0.911811 	04:30
4 	0.206026 	0.264263 	0.072178 	0.927822 	0.927822 	0.927822 	0.927822 	04:30
5 	0.194472 	0.213486 	0.055906 	0.944094 	0.944095 	0.944094 	0.944095 	04:30
6 	0.171516 	0.168135 	0.056955 	0.943045 	0.943045 	0.943045 	0.943045 	04:31
7 	0.146431 	0.191928 	0.052756 	0.947244 	0.947244 	0.947244 	0.947244 	04:32
8 	0.147898 	0.203271 	0.050656 	0.949344 	0.949344 	0.949344 	0.949344 	04:31
9 	0.140209 	0.276602 	0.055906 	0.944094 	0.944094 	0.944095 	0.944095 	04:30
0 	0.155336 	0.198268 	0.056430 	0.943570 	0.943570 	0.943570 	0.943570 	06:02
1 	0.198490 	0.341476 	0.065092 	0.934908 	0.934908 	0.934908 	0.934908 	06:03
2 	0.186662 	0.280293 	0.059843 	0.940157 	0.940157 	0.940158 	0.940158 	06:02
3 	0.197744 	0.232341 	0.067717 	0.932283 	0.932283 	0.932283 	0.932283 	06:03
4 	0.177910 	0.215941 	0.061155 	0.938845 	0.938845 	0.938845 	0.938845 	06:02
5 	0.168352 	0.167037 	0.059843 	0.940157 	0.940157 	0.940157 	0.940157 	06:03
6 	0.144033 	0.147780 	0.048819 	0.951181 	0.951181 	0.951181 	0.951181 	06:03
7 	0.128530 	0.156885 	0.047244 	0.952756 	0.952756 	0.952756 	0.952756 	06:03
8 	0.102825 	0.154387 	0.046719 	0.953281 	0.953281 	0.953281 	0.953281 	06:02
9 	0.127067 	0.197495 	0.045407 	0.954593 	0.954593 	0.954593 	0.954593 	06:03
